,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
3066,a_a007582,A01,a007582,,10
3067,a_a004118,A02,a004118,대중교통 등,10
3068,a_a000893,A03,a000893,자가용,08
3069,a_a000507,A02,a000507,자가용,08
3070,a_a018139,A03,a018139,,11
3071,a_a007778,A01,a007778,대중교통 등,10
3072,a_a009906,A01,a009906,대중교통 등,10
3073,a_a004312,A01,a004312,,09
3074,a_a001960,A01,a001960,대중교통 등,09
3075,a_a005096,A01,a005096,대중교통 등,09
3076,a_a001731,A03,a001731,자가용,09
3077,a_a009750,A03,a009750,대중교통 등,10
3078,a_a013847,A01,a013847,대중교통 등,10
3079,a_a003757,A01,a003757,자가용,10
3080,a_a006537,A03,a006537,,10
3081,a_a005538,A03,a005538,자가용,10
3082,a_a002497,A03,a002497,자가용,09
3083,a_a002600,A03,a002600,자가용,10
3084,a_a002032,A03,a002032,자가용,09
3085,a_a006616,A03,a006616,자가용,10
3086,a_a004415,A01,a004415,대중교통 등,09
3087,a_a000417,A01,a000417,자가용,08
3088,a_a006769,A03,a006769,대중교통 등,10
3089,a_a017738,A01,a017738,,11
3090,a_a012416,A01,a012416,자가용,10
3091,a_a017671,A02,a017671,,11
3092,a_a001715,A03,a001715,자가용,09
3093,a_a010349,A01,a010349,대중교통 등,10
3094,a_a000862,A03,a000862,자가용,08
3095,a_a010002,A03,a010002,대중교통 등,10
3096,a_a006502,A03,a006502,자가용,10
3097,a_a002885,A03,a002885,자가용,10
3098,a_a001471,A03,a001471,자가용,08
3099,a_a009509,A01,a009509,자가용,10
3100,a_a005254,A01,a005254,대중교통 등,10
3101,a_a008562,A03,a008562,자가용,10
3102,b_b011628,A01,b011628,,10
3103,a_a004594,A03,a004594,대중교통 등,10
3104,a_a004646,A03,a004646,자가용,10
3105,a_a006021,A03,a006021,,10
3106,a_a002126,A03,a002126,자가용,09
3107,a_a014772,A01,a014772,자가용,10
3108,a_a005514,A01,a005514,자가용,10
3109,a_a018084,A03,a018084,,11
3110,a_a018151,A03,a018151,,11
