,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID
5977,2210150008,a_a006994,루리스-당산동1가 429,,120.0,13,0.0,5.0,5.0,5.0,10,1072
5981,2210290011,a_a011522,롯데월드타워&롯데월드몰,서울 송파구 신천동 29,0.0,4,1.0,5.0,5.0,5.0,10,1064
5982,2208150001,a_a000014,용문사,경기 양평군 용문면 신점리 625,90.0,2,0.0,4.0,3.0,3.0,08,2492
5986,2209240004,a_a002324,연천당포성,경기 연천군 미산면 동이리 778,60.0,2,0.0,5.0,4.0,4.0,09,2362
5987,2211120004,a_a017940,백운호수,경기 의왕시 학의동,30.0,7,1.0,5.0,5.0,5.0,11,1318
5995,2209200005,a_a001923,수원천,경기 수원시 장안구 연무동 198-29,30.0,7,0.0,3.0,3.0,4.0,09,1887
5996,2210300006,a_a014937,방탈출버스티드,경기 부천시 심곡동 404-6,90.0,13,0.0,4.0,3.0,5.0,10,1293
6001,2210010006,a_a004024,방화수류정,,60.0,2,0.0,4.0,3.0,4.0,10,1295
6004,2208240008,a_a000351,흔들바위,경기 안성시 일죽면 죽림리,30.0,2,0.0,2.0,2.0,2.0,08,3796
6005,2210230005,a_a009511,창경궁,서울 종로구 와룡동 2-1,60.0,2,0.0,4.0,4.0,4.0,10,3082
