,Unnamed: 0,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,TRAVEL_NM,MVMN_NM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS,TRAVEL_PURPOSE,TRAVEL_MISSION,RATING,지역 문화예술/공연/전시시설 관람,쇼핑,SNS 인생샷 여행,호캉스 여행,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,유흥/오락(나이트라이프),드라마 촬영지 방문,Well-ness 여행,신규 여행지 발굴,친환경 여행(플로깅 여행),시티투어,지역 축제/이벤트 참가,"야외 스포츠, 레포츠 활동",인플루언서 따라하기 여행,캠핑,온천/스파,교육/체험 프로그램 참가,종교/성지 순례,반려동물 동반 여행
3441,3441,3621,a_a006646,a006646,헤이리예술마을,경기 파주시 탄현면 법흥리 1652-239,300.0,7,0.0,4.0,3.0,4.0,10,A03,자가용,6,2,2,2,2,6,2.0,0.0,0.0,1;22;24;26;28;,1;22;24;26;28;,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3442,3442,3518,a_a018100,a018100,한강중앙공원,경기 김포시 장기동 2001-1,30.0,1,0.0,4.0,3.0,3.0,11,A03,0,3,2,1,6,2,6,2.0,0.0,0.0,1;21;6;,1;21;6;,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3443,3443,3258,a_a018100,a018100,킨텍스 제1전시장,경기 고양시 일산서구 대화동 2600,120.0,3,1.0,3.0,5.0,5.0,11,A03,0,3,2,1,6,2,6,2.0,0.0,0.0,1;21;6;,1;21;6;,13.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3444,3444,1978,a_a003212,a003212,스파오 성신여대점,서울 성북구 동선동1가 1-2,30.0,4,0.0,4.0,3.0,3.0,9,A01,대중교통 등,4,4,4,4,4,6,2.0,0.0,0.0,1;3;6;,1;3;6;,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3445,3445,18,a_a003212,a003212,63전망대,서울 영등포구 여의도동 60,90.0,3,0.0,4.0,3.0,4.0,9,A01,대중교통 등,4,4,4,4,4,6,2.0,0.0,0.0,1;3;6;,1;3;6;,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3446,3446,1115,a_a003212,a003212,만해한용운심우장,서울 성북구 성북동 222-1,30.0,7,0.0,3.0,3.0,3.0,9,A01,대중교통 등,4,4,4,4,4,6,2.0,0.0,0.0,1;3;6;,1;3;6;,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3447,3447,513,a_a003212,a003212,그라운드시소 성수,서울 성동구 성수동2가 280-9,60.0,3,0.0,3.0,3.0,3.0,9,A01,대중교통 등,4,4,4,4,4,6,2.0,0.0,0.0,1;3;6;,1;3;6;,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3448,3448,553,a_a003212,a003212,길상사,서울 성북구 성북동 323,60.0,2,0.0,3.0,3.0,3.0,9,A01,대중교통 등,4,4,4,4,4,6,2.0,0.0,0.0,1;3;6;,1;3;6;,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3449,3449,1693,a_a008460,a008460,석촌호수 서호,서울 송파구 잠실동 47,30.0,1,0.0,5.0,5.0,5.0,10,A01,대중교통 등,3,2,5,6,4,3,1.0,0.0,0.0,22;6;,22;6;,16.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3450,3450,1056,a_a008460,a008460,롯데월드 샤롯데씨어터,서울 송파구 잠실동 40-1,240.0,6,1.0,5.0,5.0,5.0,10,A01,대중교통 등,3,2,5,6,4,3,1.0,0.0,0.0,22;6;,22;6;,16.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3451,3451,1029,a_a008460,a008460,롯데백화점 잠실점,서울 송파구 잠실동 40-1,30.0,4,1.0,5.0,5.0,5.0,10,A01,대중교통 등,3,2,5,6,4,3,1.0,0.0,0.0,22;6;,22;6;,16.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3452,3452,1341,a_a001835,a001835,별빛정원 우주,경기 이천시 마장면 각평리 319,30.0,6,0.0,3.0,3.0,3.0,9,A03,자가용,2,2,1,2,2,4,1.0,0.0,0.0,1;11;12;2;,1;11;12;2;,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3453,3453,3527,a_a001835,a001835,한국민속촌,경기 용인시 기흥구 보라동 107-1,180.0,6,0.0,5.0,5.0,4.0,9,A03,자가용,2,2,1,2,2,4,1.0,0.0,0.0,1;11;12;2;,1;11;12;2;,15.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3454,3454,3726,a_a001835,a001835,화담숲,경기 광주시 도척면 도웅리 산 33,180.0,1,0.0,5.0,5.0,5.0,9,A03,자가용,2,2,1,2,2,4,1.0,0.0,0.0,1;11;12;2;,1;11;12;2;,16.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3455,3455,1068,a_a001835,a001835,롯데프리미엄아울렛 이천점,경기 이천시 호법면 단천리 864,30.0,4,0.0,3.0,3.0,3.0,9,A03,자가용,2,2,1,2,2,4,1.0,0.0,0.0,1;11;12;2;,1;11;12;2;,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
