,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY
253,a006201,1,4,4,3,1,7,나홀로 여행
254,a002260,2,3,4,3,3,6,2인 여행(가족 외)
255,a014142,6,2,5,3,1,7,2인 여행(가족 외)
256,a006406,1,1,3,3,6,1,나홀로 여행
257,a005864,2,1,1,3,6,1,2인 가족 여행
258,a001210,2,4,7,4,4,7,나홀로 여행
259,a005150,2,2,3,3,2,6,2인 여행(가족 외)
260,a017687,1,4,1,4,4,4,2인 가족 여행
261,a002507,2,2,3,4,2,2,자녀 동반 여행
262,a001595,2,1,2,1,4,7,2인 가족 여행
263,a003072,1,2,2,1,7,5,나홀로 여행
264,a011190,7,1,1,7,7,7,2인 여행(가족 외)
265,a004930,1,1,4,2,5,5,자녀 동반 여행
266,a000019,5,2,4,5,5,3,3인 이상 여행(가족 외)
267,a001904,1,2,5,5,3,4,3인 이상 여행(가족 외)
268,c011520,1,1,1,4,1,7,나홀로 여행
269,a007002,1,1,2,4,1,7,3인 이상 여행(가족 외)
270,a001794,2,4,3,6,5,1,자녀 동반 여행
271,a002117,6,3,1,6,2,7,2인 여행(가족 외)
272,a001899,1,7,1,1,7,1,나홀로 여행
273,a000407,5,3,5,5,5,3,나홀로 여행
274,a017996,2,2,4,3,6,6,3인 이상 여행(가족 외)
275,a010533,3,4,5,5,3,2,나홀로 여행
276,a006815,3,5,3,5,3,5,2인 여행(가족 외)
277,a002095,4,1,6,7,6,5,나홀로 여행
278,a002624,1,1,1,1,2,4,자녀 동반 여행
279,a006700,2,2,7,2,6,2,2인 여행(가족 외)
280,a007887,4,5,6,4,7,5,나홀로 여행
281,a002251,2,3,2,2,5,5,나홀로 여행
282,a003288,6,6,2,2,6,3,나홀로 여행
283,a002810,1,1,2,6,1,7,나홀로 여행
284,a004312,4,1,2,2,1,4,2인 여행(가족 외)
285,a008048,4,2,7,2,2,4,나홀로 여행
286,a008695,4,6,5,5,6,4,나홀로 여행
287,a007298,6,2,2,5,1,6,나홀로 여행
288,a000335,2,2,2,2,3,5,3인 이상 여행(가족 외)
289,d009226,5,3,4,4,3,6,3대 동반 여행(친척 포함)
290,a017947,4,2,4,6,4,6,나홀로 여행
291,a007258,1,1,1,1,1,3,2인 여행(가족 외)
292,a005652,4,3,4,5,4,4,자녀 동반 여행
293,a017844,4,4,4,4,4,4,나홀로 여행
294,a005605,5,4,3,6,5,5,자녀 동반 여행
295,a015112,4,6,2,2,5,2,2인 가족 여행
296,a001056,5,1,5,7,7,7,나홀로 여행
297,a007035,3,5,3,5,5,3,2인 여행(가족 외)
298,a008058,2,2,4,5,5,4,2인 여행(가족 외)
299,a007584,4,2,3,5,2,6,2인 여행(가족 외)
300,a007297,4,4,4,4,4,4,나홀로 여행
301,a010416,3,1,3,4,5,5,나홀로 여행
302,a002358,7,7,1,5,1,2,나홀로 여행
303,a001368,2,4,5,6,1,7,나홀로 여행
304,a005997,1,1,3,5,2,6,자녀 동반 여행
305,a000491,4,4,4,4,5,7,2인 가족 여행
306,c004837,3,4,2,3,6,5,2인 여행(가족 외)
307,a018205,4,5,4,5,1,4,나홀로 여행
308,a002158,3,5,4,5,6,5,나홀로 여행
309,a012267,1,1,5,2,2,5,3대 동반 여행(친척 포함)
310,a002571,1,4,2,4,5,3,자녀 동반 여행
311,a003657,2,4,4,2,2,6,3대 동반 여행(친척 포함)
312,a006309,2,2,6,2,2,4,2인 여행(가족 외)
313,a001725,4,2,5,6,1,6,2인 가족 여행
314,a006033,4,3,3,6,6,4,2인 가족 여행
315,a005161,3,3,6,3,5,5,자녀 동반 여행
316,a012512,2,3,4,4,5,5,3대 동반 여행(친척 포함)
317,a000389,3,5,5,4,2,4,3인 이상 여행(가족 외)
318,a001472,5,2,5,6,2,5,2인 여행(가족 외)
319,a006336,1,6,2,3,5,1,나홀로 여행
320,a006065,2,6,4,5,7,6,나홀로 여행
321,a004771,2,6,1,3,1,2,나홀로 여행
322,a003621,7,1,1,7,6,7,나홀로 여행
323,a006288,2,3,3,2,3,5,나홀로 여행
324,a008086,2,6,2,6,2,4,3인 이상 여행(가족 외)
325,a007866,1,1,1,3,2,3,나홀로 여행
326,a012198,5,3,4,4,6,1,3인 이상 여행(가족 외)
327,a002441,1,1,1,1,7,1,나홀로 여행
328,a008107,6,2,4,1,7,5,3인 이상 여행(가족 외)
329,a017815,1,6,2,5,3,5,2인 가족 여행
330,a017889,2,2,5,5,2,7,나홀로 여행
331,a002930,4,1,5,3,4,3,2인 여행(가족 외)
332,a012165,7,2,4,6,2,4,2인 여행(가족 외)
333,a006547,2,1,1,4,1,1,2인 가족 여행
334,a002301,2,2,2,1,5,4,나홀로 여행
335,a010948,1,1,7,7,1,7,2인 여행(가족 외)
336,a009742,4,1,3,6,1,4,자녀 동반 여행
337,a002653,1,2,5,6,5,5,자녀 동반 여행
338,b009669,5,2,4,2,3,6,나홀로 여행
339,a006209,3,1,4,2,6,7,2인 여행(가족 외)
340,a007280,2,3,6,6,5,7,자녀 동반 여행
341,a003212,4,4,4,4,4,6,2인 여행(가족 외)
342,a005370,2,4,3,6,3,5,3대 동반 여행(친척 포함)
343,a006616,1,1,4,2,2,7,3인 이상 여행(가족 외)
344,a001474,2,2,2,4,6,6,자녀 동반 여행
345,b007922,5,5,3,5,4,4,나홀로 여행
346,a014333,4,6,4,6,1,5,나홀로 여행
347,a009700,4,2,3,5,3,5,2인 가족 여행
348,a010504,6,6,1,6,5,4,2인 여행(가족 외)
349,a002282,2,2,6,2,2,6,2인 여행(가족 외)
350,a000655,3,2,5,3,6,5,3인 이상 여행(가족 외)
351,a004862,2,2,4,4,6,2,2인 여행(가족 외)
352,a008018,4,2,7,5,7,2,2인 여행(가족 외)
353,a002233,4,4,2,4,4,1,자녀 동반 여행
354,a001575,4,1,4,3,4,6,3인 이상 여행(가족 외)
355,a004341,7,1,1,7,7,7,2인 여행(가족 외)
356,a006353,5,2,5,5,5,3,자녀 동반 여행
357,a005679,1,1,1,1,1,3,자녀 동반 여행
358,a003603,4,2,5,5,6,3,2인 여행(가족 외)
359,a010276,3,2,2,5,6,2,2인 여행(가족 외)
360,a006066,3,4,1,2,6,2,나홀로 여행
361,a005633,3,2,4,2,3,6,2인 여행(가족 외)
362,a001337,4,3,5,5,4,5,2인 여행(가족 외)
363,a018100,3,2,1,6,2,6,2인 가족 여행
364,a004274,2,1,4,2,2,7,2인 가족 여행
365,a006096,1,1,6,2,6,1,3인 이상 여행(가족 외)
