,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
1931,a_a010197,A03,a010197,1,10
1932,a_a004172,A01,a004172,2,10
1933,a_a010267,A01,a010267,2,10
1934,a_a001638,A01,a001638,2,09
1935,a_a003341,A03,a003341,1,10
1936,a_a012300,A01,a012300,2,10
1937,a_a014876,A01,a014876,2,10
1938,a_a003141,A01,a003141,1,10
1939,a_a000108,A01,a000108,1,08
1940,a_a007381,A01,a007381,0,10
1941,a_a004779,A03,a004779,1,10
1942,a_a010000,A01,a010000,2,10
1943,a_a000560,A03,a000560,1,08
1944,a_a005221,A03,a005221,1,10
1945,a_a006409,A03,a006409,1,10
1946,a_a000989,A01,a000989,1,09
1947,c_c011907,A03,c011907,0,11
1948,a_a004490,A03,a004490,1,10
1949,a_a007920,A01,a007920,0,10
1950,a_a003793,A03,a003793,1,09
1951,a_a005153,A01,a005153,0,10
1952,a_a002536,A03,a002536,1,09
1953,a_a007837,A01,a007837,2,10
1954,a_a002759,A03,a002759,1,10
1955,a_a003204,A02,a003204,1,10
1956,a_a002379,A01,a002379,1,09
1957,a_a001687,A03,a001687,1,09
1958,a_a009756,A03,a009756,1,10
1959,a_a011147,A03,a011147,1,10
1960,a_a002171,A03,a002171,1,09
1961,a_a005657,A01,a005657,0,10
1962,a_a000339,A01,a000339,1,08
1963,a_a007456,A01,a007456,2,10
1964,a_a003938,A01,a003938,2,09
1965,a_a002118,A01,a002118,1,09
1966,a_a003829,A01,a003829,2,10
1967,a_a004859,A03,a004859,2,10
1968,a_a014793,A01,a014793,2,10
1969,a_a017817,A01,a017817,0,11
1970,a_a002923,A03,a002923,2,09
1971,a_a007643,A03,a007643,0,10
1972,a_a004319,A03,a004319,0,10
1973,a_a008320,A03,a008320,1,10
1974,a_a009605,A02,a009605,2,10
1975,a_a006128,A02,a006128,2,10
1976,a_a004387,A03,a004387,1,10
1977,a_a009555,A03,a009555,1,10
1978,a_a007411,A03,a007411,0,10
1979,a_a010134,A03,a010134,2,10
1980,a_a005659,A03,a005659,0,10
1981,a_a000302,A03,a000302,1,09
1982,a_a009870,A03,a009870,1,10
1983,a_a007047,A01,a007047,2,10
1984,a_a000468,A02,a000468,1,08
1985,a_a012496,A01,a012496,2,10
1986,a_a001034,A03,a001034,1,08
1987,b_b009428,A03,b009428,1,10
1988,a_a005781,A01,a005781,2,10
1989,a_a000237,A03,a000237,1,08
1990,a_a004627,A03,a004627,1,10
1991,a_a012456,A01,a012456,2,10
1992,a_a000552,A01,a000552,2,08
1993,a_a008114,A01,a008114,1,10
1994,a_a003853,A01,a003853,2,09
1995,a_a004360,A03,a004360,1,10
1996,c_c006042,A03,c006042,0,10
1997,a_a006478,A03,a006478,1,10
1998,a_a001940,A03,a001940,1,09
1999,a_a017903,A01,a017903,0,11
2000,a_a003098,A03,a003098,1,10
2001,a_a001440,A03,a001440,1,09
2002,a_a003071,A03,a003071,1,10
2003,a_a000623,A03,a000623,2,09
2004,a_a006726,A01,a006726,2,10
2005,a_a017884,A02,a017884,0,11
2006,a_a017741,A02,a017741,0,11
2007,a_a018027,A03,a018027,0,11
2008,a_a006620,A03,a006620,1,10
2009,a_a007624,A03,a007624,0,10
2010,a_a017914,A03,a017914,0,11
2011,a_a004641,A03,a004641,1,10
2012,a_a000458,A03,a000458,1,08
2013,a_a006017,A03,a006017,0,10
2014,a_a006353,A03,a006353,1,10
2015,a_a007824,A03,a007824,1,10
2016,a_a005130,A03,a005130,0,10
2017,a_a006522,A03,a006522,1,10
2018,a_a003672,A03,a003672,1,10
2019,a_a003000,A03,a003000,2,09
2020,a_a011215,A03,a011215,1,10
2021,c_c005714,A03,c005714,1,10
2022,a_a011241,A03,a011241,1,10
2023,a_a000960,A03,a000960,1,08
2024,a_a005423,A01,a005423,2,10
2025,a_a000461,A03,a000461,2,08
2026,a_a003603,A03,a003603,2,10
2027,a_a006308,A03,a006308,0,10
2028,a_a005164,A03,a005164,0,10
2029,a_a010568,A03,a010568,1,10
2030,a_a004019,A02,a004019,1,10
2031,a_a001939,A01,a001939,1,09
2032,a_a010337,A03,a010337,1,10
2033,a_a010028,A03,a010028,1,10
2034,a_a002099,A01,a002099,2,09
2035,a_a018237,A03,a018237,0,11
2036,a_a018021,A01,a018021,0,11
2037,a_a010150,A01,a010150,2,10
2038,a_a007699,A03,a007699,1,10
2039,a_a001248,A03,a001248,1,09
2040,a_a007299,A03,a007299,0,10
2041,a_a002396,A01,a002396,2,09
2042,a_a007033,A03,a007033,2,10
2043,a_a018054,A03,a018054,0,11
2044,b_b006624,A02,b006624,0,10
2045,a_a010064,A03,a010064,1,10
2046,a_a004224,A01,a004224,1,09
2047,a_a004678,A01,a004678,0,10
2048,a_a004293,A03,a004293,0,10
2049,a_a015348,A03,a015348,2,10
2050,a_a006043,A03,a006043,0,10
2051,a_a004571,A03,a004571,2,09
2052,a_a007583,A03,a007583,0,10
2053,a_a018108,A03,a018108,0,11
2054,a_a003506,A01,a003506,2,10
2055,a_a007654,A03,a007654,0,10
2056,a_a017815,A03,a017815,0,11
2057,a_a007184,A03,a007184,1,10
2058,a_a002671,A03,a002671,2,10
2059,a_a000915,A03,a000915,1,08
2060,a_a007568,A01,a007568,1,10
2061,a_a005006,A03,a005006,1,10
2062,a_a007200,A03,a007200,0,10
2063,a_a012515,A03,a012515,1,10
2064,a_a007114,A01,a007114,2,10
2065,a_a006646,A03,a006646,1,10
2066,a_a008330,A03,a008330,1,10
2067,a_a006285,A03,a006285,1,10
2068,a_a002086,A01,a002086,2,09
2069,a_a007014,A01,a007014,2,10
2070,a_a007425,A03,a007425,1,10
2071,a_a009703,A03,a009703,1,10
2072,d_d004175,A01,d004175,1,10
2073,a_a017859,A03,a017859,0,11
2074,a_a000034,A03,a000034,1,08
2075,a_a006431,A01,a006431,2,10
2076,a_a002063,A03,a002063,1,09
2077,c_c007425,A01,c007425,2,10
2078,a_a000065,A01,a000065,1,08
2079,a_a007523,A03,a007523,2,10
2080,a_a007298,A01,a007298,0,10
2081,a_a009671,A03,a009671,1,10
2082,a_a008047,A03,a008047,0,10
2083,b_b006822,A03,b006822,2,10
2084,a_a001450,A03,a001450,1,09
2085,a_a008702,A01,a008702,2,10
2086,a_a005652,A03,a005652,0,10
2087,a_a000341,A01,a000341,2,08
2088,a_a005536,A03,a005536,1,10
