,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RATING,VISIT_MM,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_MISSION,TRAVEL_MM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS
1919,1024,a_a010954,a010954,문화역서울284,서울 중구 봉래동2가 122-28,0.0,2,0.0,4.0,3.0,3.0,11.4,10,자가용,1;23;4;6;,1;23;4;6;,10,6,1,7,2,2,6,2.0,0.0,0.0
1920,2034,a_a002786,a002786,여호와의증인 이태원왕국회관,서울 용산구 한남동 737-37,120.0,2,0.0,5.0,5.0,5.0,16.5,10,대중교통 등,1;22;3;,1;22;3;,09,3,2,6,2,6,6,3.0,0.0,0.0
1921,2318,a_a002786,a002786,을지로 포장마차거리,,120.0,4,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;22;3;,1;22;3;,09,3,2,6,2,6,6,3.0,0.0,0.0
1922,2773,a_a002786,a002786,커먼그라운드,서울 광진구 자양동 17-1,30.0,4,1.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;22;3;,1;22;3;,09,3,2,6,2,6,6,3.0,0.0,0.0
1923,1781,a_a002786,a002786,신흥시장,서울 용산구 용산동2가 1-457,120.0,4,0.0,5.0,4.0,4.0,14.7,10,대중교통 등,1;22;3;,1;22;3;,09,3,2,6,2,6,6,3.0,0.0,0.0
1924,914,a_a002786,a002786,마로니에공원,서울 종로구 동숭동 1-124,30.0,1,0.0,3.0,3.0,3.0,9.9,10,대중교통 등,1;22;3;,1;22;3;,09,3,2,6,2,6,6,3.0,0.0,0.0
1925,1473,a_a002786,a002786,석촌호수산책길,서울 송파구 송파동,30.0,7,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;22;3;,1;22;3;,09,3,2,6,2,6,6,3.0,0.0,0.0
1926,1391,a_a002786,a002786,서울숲,서울 성동구 성수동1가 678-1,30.0,1,0.0,5.0,5.0,5.0,16.5,10,대중교통 등,1;22;3;,1;22;3;,09,3,2,6,2,6,6,3.0,0.0,0.0
1927,1678,a_a007260,a007260,수원화성 화홍문,경기 수원시 팔달구 북수동 9000-1,30.0,2,1.0,5.0,4.0,5.0,15.7,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1928,2191,a_a007260,a007260,용연,경기 수원시 장안구 연무동 190,30.0,2,1.0,5.0,5.0,5.0,16.5,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1929,2522,a_a007260,a007260,장안문,경기 수원시 팔달구 장안동 329,0.0,2,1.0,4.0,4.0,4.0,13.2,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1930,2659,a_a007260,a007260,창룡문,경기 수원시 팔달구 남수동,30.0,2,1.0,4.0,4.0,4.0,13.2,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1931,3245,a_a007260,a007260,효원공원,경기 수원시 팔달구 인계동 1117,30.0,7,0.0,4.0,3.0,4.0,12.4,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1932,1102,a_a007260,a007260,방화수류정,경기 수원시 팔달구 매향동 151,0.0,2,1.0,5.0,5.0,5.0,16.5,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1933,1656,a_a007260,a007260,수원팔색길 화성성곽길,경기 수원시 장안구 연무동,0.0,2,1.0,4.0,4.0,4.0,13.2,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1934,1639,a_a007260,a007260,수원시립미술관,경기 수원시 팔달구 신풍동 238-1,60.0,3,0.0,5.0,4.0,4.0,14.7,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1935,2565,a_a007260,a007260,정월재,,0.0,3,0.0,4.0,4.0,3.0,12.2,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1936,1656,a_a007260,a007260,수원팔색길 화성성곽길,경기 수원시 장안구 연무동,30.0,2,1.0,5.0,5.0,5.0,16.5,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1937,3211,a_a007260,a007260,화성행궁,경기 수원시 팔달구 남창동 6-2,90.0,2,1.0,4.0,3.0,4.0,12.4,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
1938,1678,a_a007260,a007260,수원화성 화홍문,경기 수원시 팔달구 북수동 9000-1,0.0,2,1.0,4.0,4.0,4.0,13.2,10,,3;6;7;9;22;,3;6;7;9;22;,10,4,3,5,4,6,5,1.0,0.0,0.0
