,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID,RATING
23279,2209250005,a_a002102,두물머리,경기 양평군 양서면 양수리,90.0,1,0.0,5.0,5.0,5.0,09,911,16.5
23283,2210020002,a_a002363,산장관광지,경기 가평군 상면 덕현리 20-13,240.0,1,1.0,5.0,5.0,5.0,10,1480,16.5
23288,2210010005,a_a004066,인천차이나타운,인천 중구 북성동2가 14,30.0,4,0.0,4.0,4.0,4.0,10,2852,13.2
23290,2210090015,a_a006656,에버랜드 아마존익스프레스,경기 용인시 처인구 포곡읍 전대리 506,30.0,6,1.0,5.0,5.0,5.0,10,2273,16.5
23291,2208260006,a_a001109,덕수궁,서울 중구 정동 5-1,60.0,2,0.0,5.0,4.0,5.0,08,829,15.7
23296,2211110004,a_a017633,오산미니어처빌리지,경기 오산시 내삼미동 250-5,30.0,3,0.0,3.0,3.0,3.0,11,2426,9.9
23297,2208270006,a_a000661,서울광장,서울 중구 태평로1가 54-3,30.0,8,1.0,5.0,5.0,5.0,08,1573,16.5
23299,2210290002,a_a010070,니지모리스튜디오,경기 동두천시 탑동동 885-12,120.0,2,0.0,3.0,2.0,2.0,10,726,8.1
23300,2209190006,a_a001964,코엑스,서울 강남구 삼성동 159,60.0,3,1.0,4.0,4.0,4.0,09,3233,13.2
23303,2210190003,a_a009550,굴포천,인천 부평구 갈산동,30.0,7,0.0,5.0,5.0,5.0,10,502,16.5
23304,2210160004,a_a006566,몬스터리움,,90.0,13,0.0,4.0,3.0,4.0,10,1174,12.4
23306,2210020003,a_a003328,삼청동거리,서울 종로구 팔판동 67-1,90.0,4,0.0,5.0,5.0,5.0,10,1503,16.5
23307,2211050002,a_a012183,미리내성지,경기 안성시 양성면 미산리 산 110-1,60.0,2,0.0,4.0,4.0,4.0,11,1224,13.2
23309,2209030010,a_a001208,박가네빈대떡 2호점,서울 종로구 종로5가 138-16,90.0,4,0.0,3.0,1.0,3.0,09,1265,8.3
23316,2210220004,a_a006011,노들섬,서울 용산구 이촌동 302-146,150.0,1,0.0,5.0,5.0,5.0,10,667,16.5
23319,2210300007,a_a012337,구월도매시장,인천 남동구 구월동 1333-10,30.0,4,0.0,4.0,4.0,4.0,10,441,13.2
23321,2209200002,a_a002456,광장시장,서울 종로구 예지동 2-1,60.0,4,0.0,5.0,5.0,5.0,09,406,16.5
